CMDLINE python mp_example3.py
MEM 47.882812 1701299778.5787
MEM 47.882812 1701299778.6793
MEM 47.882812 1701299778.7801
MEM 47.882812 1701299778.8806
MEM 47.882812 1701299778.9809
MEM 47.882812 1701299779.0814
MEM 47.882812 1701299779.1819
MEM 47.882812 1701299779.2827
MEM 47.882812 1701299779.3840
MEM 47.882812 1701299779.4847
MEM 47.882812 1701299779.5853
MEM 47.882812 1701299779.6860
MEM 47.882812 1701299779.7870
MEM 47.882812 1701299779.8876
MEM 47.882812 1701299779.9881
MEM 47.882812 1701299780.0889
MEM 47.882812 1701299780.1893
MEM 47.882812 1701299780.2899
MEM 47.882812 1701299780.3905
MEM 47.882812 1701299780.4910
MEM 47.882812 1701299780.5919
MEM 47.882812 1701299780.6929
MEM 47.882812 1701299780.7937
MEM 47.882812 1701299780.8945
MEM 47.882812 1701299780.9949
MEM 47.882812 1701299781.0955
MEM 47.882812 1701299781.1959
MEM 47.882812 1701299781.2964
MEM 47.882812 1701299781.3971
MEM 47.882812 1701299781.4980
MEM 47.882812 1701299781.5985
MEM 47.882812 1701299781.6992
MEM 47.882812 1701299781.7998
MEM 47.882812 1701299781.9014
MEM 47.882812 1701299782.0015
MEM 47.882812 1701299782.1023
MEM 133.140625 1701299782.2029
MEM 86.031250 1701299782.3035
MEM 86.031250 1701299782.4039
MEM 86.031250 1701299782.5048
MEM 86.031250 1701299782.6056
MEM 86.031250 1701299782.7063
MEM 86.031250 1701299782.8070
MEM 86.031250 1701299782.9078
MEM 86.031250 1701299783.0083
MEM 86.031250 1701299783.1092
MEM 86.031250 1701299783.2101
MEM 86.031250 1701299783.3112
MEM 86.031250 1701299783.4116
MEM 86.031250 1701299783.5124
MEM 86.031250 1701299783.6132
MEM 86.031250 1701299783.7139
MEM 86.031250 1701299783.8145
MEM 86.031250 1701299783.9154
MEM 86.031250 1701299784.0160
MEM 86.031250 1701299784.1169
MEM 111.507812 1701299784.2182
MEM 181.250000 1701299784.3187
MEM 162.324219 1701299784.4194
MEM 162.324219 1701299784.5199
MEM 162.324219 1701299784.6203
MEM 162.324219 1701299784.7215
MEM 162.324219 1701299784.8221
MEM 162.324219 1701299784.9226
MEM 162.324219 1701299785.0232
MEM 162.324219 1701299785.1240
MEM 162.324219 1701299785.2249
MEM 162.324219 1701299785.3259
MEM 162.324219 1701299785.4263
MEM 162.324219 1701299785.5269
MEM 162.324219 1701299785.6274
MEM 162.324219 1701299785.7279
MEM 162.324219 1701299785.8286
MEM 162.324219 1701299785.9291
MEM 162.324219 1701299786.0297
MEM 162.324219 1701299786.1302
MEM 162.324219 1701299786.2307
MEM 162.324219 1701299786.3314
MEM 255.882812 1701299786.4319
MEM 367.269531 1701299786.5323
MEM 238.617188 1701299786.6330
MEM 238.617188 1701299786.7336
MEM 238.617188 1701299786.8345
MEM 238.562500 1701299786.9351
MEM 238.562500 1701299787.0358
MEM 238.562500 1701299787.1363
MEM 238.562500 1701299787.2371
MEM 238.562500 1701299787.3376
MEM 238.562500 1701299787.4384
MEM 238.562500 1701299787.5391
MEM 238.562500 1701299787.6396
MEM 238.562500 1701299787.7402
MEM 238.562500 1701299787.8411
MEM 238.562500 1701299787.9416
MEM 238.562500 1701299788.0429
MEM 238.562500 1701299788.1432
MEM 238.562500 1701299788.2438
MEM 238.562500 1701299788.3448
MEM 238.562500 1701299788.4454
MEM 238.562500 1701299788.5459
MEM 284.562500 1701299788.6468
MEM 483.046875 1701299788.7474
MEM 391.156250 1701299788.8482
MEM 314.859375 1701299788.9485
MEM 314.859375 1701299789.0489
MEM 314.859375 1701299789.1495
MEM 314.859375 1701299789.2508
MEM 314.859375 1701299789.3512
MEM 314.859375 1701299789.4520
MEM 314.859375 1701299789.5527
MEM 314.859375 1701299789.6530
MEM 314.859375 1701299789.7539
MEM 314.859375 1701299789.8544
MEM 314.859375 1701299789.9550
MEM 314.859375 1701299790.0559
MEM 314.859375 1701299790.1568
MEM 314.859375 1701299790.2573
MEM 314.859375 1701299790.3579
MEM 314.859375 1701299790.4588
MEM 314.859375 1701299790.5592
MEM 314.859375 1701299790.6598
MEM 314.859375 1701299790.7610
MEM 315.265625 1701299790.8616
MEM 523.964844 1701299790.9624
MEM 652.714844 1701299791.0629
MEM 391.152344 1701299791.1633
MEM 391.152344 1701299791.2638
MEM 391.152344 1701299791.3646
MEM 391.152344 1701299791.4653
MEM 391.152344 1701299791.5662
MEM 391.152344 1701299791.6670
MEM 391.152344 1701299791.7682
MEM 391.152344 1701299791.8688
MEM 391.152344 1701299791.9691
MEM 391.152344 1701299792.0699
MEM 391.152344 1701299792.1708
MEM 391.152344 1701299792.2715
MEM 391.152344 1701299792.3719
MEM 391.152344 1701299792.4726
MEM 391.152344 1701299792.5733
MEM 391.152344 1701299792.6738
MEM 391.152344 1701299792.7744
MEM 391.152344 1701299792.8750
MEM 391.152344 1701299792.9754
MEM 391.152344 1701299793.0757
MEM 391.152344 1701299793.1761
MEM 391.152344 1701299793.2765
MEM 17.312500 1701299793.3767
MEM 17.312500 1701299793.4773
MEM 17.312500 1701299793.5787
